Date,Venue,GF,GA,Opponent,Team
2024-05-12,Home,0,1,Arsenal,Manchester United
2024-05-15,Home,3,2,Newcastle United,Manchester United
2024-05-19,Away,2,0,Brighton and Hove Albion,Manchester United
2024-05-19,Home,2,1,Everton,Arsenal
2024-05-19,Away,4,2,Brentford,Newcastle United
2024-05-15,Home,1,2,Chelsea,Brighton and Hove Albion
2024-05-19,Home,2,1,AFC Bournemouth,Chelsea
2024-05-13,Home,3,3,Liverpool,Aston Villa
2024-05-19,Away,3,3,Crystal Palace,Aston Villa
2024-05-19,Home,2,0,Wolverhampton Wanderers,Liverpool
2024-05-14,Home,0,2,Manchester City,Tottenham Hotspur
2024-05-19,Away,3,0,Sheffield United,Tottenham Hotspur
2024-05-19,Home,3,1,West Ham United,Manchester City
2024-05-19,Home,2,4,Fulham,Luton Town
2024-05-19,Home,1,2,Nottingham Forest,Burnley
